1,Babar Azam,Pakistan
2,Rohit Sharma,India
3,Shubman Gill,India
4,Virat Kohli,India
5,Harry Tector,Ireland
6,Daryl Mitchell,New Zealand
7,Rahmanullah Gurbaz,Afghanistan
8,Pathum Nissanka,Sri Lanka
9,Shai Hope,West Indies
10,Fakhar Zaman,Pakistan
11,Charith Asalanka,Sri Lanka
12,Shreyas Iyer,India
13,Travis Head,Australia
14,Heinrich Klaasen,South Africa
15,Imam-ul-Haq,Pakistan
